provider,category,category_label,price_semantics,lineage_group,external_redistribution_evidence,documented_rights_text,decision_note,official_sources
Hyperliquid / HIP-3,venue,Venue,"Native L2 book and trades; separate allMids, oracle, mark, funding. HIP-3 deployer defines oracle and contract specs",hyperliquid_native_book; each HIP-3 dex and its deployer oracle must retain separate lineage,Not externally documented,Unknown; written venue clearance required,Strong executable candidate. Do not count HIP-3 oracle/index and native order book as independent sources; verify each market's deployer/oracle definition.,https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/rate-limits-and-user-limits|https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/websocket/subscriptions|https://hyperliquid.gitbook.io/hyperliquid-docs/hyperliquid-improvement-proposals-hips/hip-3-builder-deployed-perpetuals|https://hyperliquid.gitbook.io/hyperliquid-docs/trading/fees
Drift,venue,Venue,Locally reconstructed onchain DLOB L2/L3; committed resting orders; optional vAMM/fallback liquidity; separate oracle/mark. Indicative quotes are explicitly non-firm,drift_dlob; vAMM and indicative-quote components must remain tagged and not counted as independent,Not externally documented,Unknown,Best build candidate because the book can be reconstructed and replayed from exact accounts/slots. Exclude indicative quotes from firm executable depth or cap separately.,https://docs.drift.trade/developers/drift-sdk/dlob|https://docs.drift.trade/developers/market-makers/indicative-quotes|https://docs.drift.trade/developers/market-makers/quickstart
Orderly,venue,Venue,"Shared offchain CLOB order book/trades; separate index, mark and funding",orderly_shared_clob; all front ends share the same liquidity and must not be counted as independent venues,Not externally documented,Unknown; written Orderly clearance required,Strong executable candidate. Implement snapshot+prevTs sequencing and preserve the shared-liquidity lineage across broker front ends.,https://orderly.network/docs/build-on-omnichain/introduction|https://orderly.network/docs/build-on-omnichain/websocket-api/public/order-book-update|https://orderly.network/docs/build-on-omnichain/restful-api/public/get-market-trades|https://orderly.network/docs/introduction/trade-on-orderly/trade-on-orderly|https://orderly.network/docs/introduction/trade-on-orderly/trading-basics/trading-fees
Ostium,venue,Venue,"Builder API exposes bid/mid/ask and market caps; no documented native L2. Treat any inferred depth as synthetic/protocol capacity, not order-book depth",ostium_protocol_quote; underlying oracle lineage must be mapped before independence claims,Not externally documented,Unknown,"Useful reference/bid-ask candidate, but not native L2 and not independently sourced until its upstream oracle lineage is documented.",https://docs.ostium.com/developer/builder-api/overview|https://docs.ostium.com/developer/reference/get-pairs|https://docs.ostium.com/developer/sdk/overview
Gains Network,venue,Venue,Protocol/DON reference prices and OHLC; not an executable order book,gains_don_reference; do not treat pair price as venue book depth,Not externally documented,Unknown,Good high-frequency reference lane. Never label as BidAsk or block-size VWAP.,https://docs.gains.trade/developer/integrators/price-feed|https://docs.gains.trade/developer/integrators
Aevo,venue,Venue,Native offchain order book/trades; instrument types PERPETUAL and OPTION; USD prices and contract amounts,aevo_native_book; options and perps separate from external index/oracle lineage,Not externally documented,Unknown,"Executable candidate for listed instruments, but current RWA breadth and redistribution rights need confirmation.",https://api-docs.aevo.xyz/reference/overview|https://api-docs.aevo.xyz/reference/getorderbook|https://api-docs.aevo.xyz/reference/operations
Aster,venue,Venue,Public REST depth/trades/tickers/funding and WebSocket market streams; separate mark/index where exposed,aster_native_book; do not conflate Aster source with upstream oracle/index,Not externally documented,Unknown,Executable candidate. Pin V3 schema and capture exchangeInfo multipliers/ticks before coverage claims.,https://github.com/asterdex/api-docs|https://github.com/asterdex/aster-skills-hub
xStocks / Backed,tokenized_issuer,Tokenized Issuer,"Underlying reference price, token multiplier/contract metadata, corporate actions; soft/firm issuance-redemption quote endpoints separately authenticated. Public token payload is not L2 depth",backed_issuer_reference; every chain deployment/wrapper is one economic source,Not externally documented,Unknown; integrator audience is not an express redistribution license,"High-coverage exact identity/reference lane. Preserve ISIN, underlying symbol, multiplier and halt state. No executable semantics or native timestamp should be invented.",https://api.backed.fi/api-docs/|https://docs.xstocks.fi|https://assets.backed.fi/legal-documentation
Ondo Global Markets,tokenized_issuer,Tokenized Issuer,Display-only latest/market/OHLC prices; separate non-binding soft quote and signed mint/redemption attestations; primary token price and underlying-market price distinguished,ondo_issuer_primary; underlying market data and token primary price share issuer lineage,Restricted / not granted,No for the documented display endpoints; explicit display-only wording,"Partner, do not scrape. Treat soft quote as non-binding and display price as reference-only.",https://docs.ondo.finance/api-reference/overview|https://docs.ondo.finance/api-reference/assets/get-current-prices-for-all-supported-assets|https://docs.ondo.finance/api-reference/quickstart|https://docs.ondo.finance/api-reference/limits/get-trading-limits
Dinari,tokenized_issuer_broker,Tokenized Issuer Broker,"Licensed NBBO bid/ask for pre-trade display; WebSocket draft lists DFN L2/top-of-book; Dinari says its standard feeds are official exchange data, not onchain dShare trading","dinari_sip_or_dfn; official-exchange lineage, not independent from CTA/UTP or other SIP vendors",Agreement or license required,Only as licensed display through Dinari; not a general resale grant,Not a lawful replacement input for Blocksize analytics/oracle under the cited US NBBO terms. Could be an execution/partner display lane only under a negotiated agreement.,https://docs.dinari.com/docs/us|https://docs.dinari.com/docs/pricing-quotes|https://docs.dinari.com/docs/websockets
Swarm,tokenized_issuer_platform,Tokenized Issuer Platform,Platform/API and smart-contract solution for issuance/trading; no public price/NAV feed contract located in reviewed official docs,swarm_platform; exact asset and venue/pool lineage required,Not externally documented,Unknown,Partner/API discovery required. Do not infer prices from token state or catalog metadata.,https://swarm.com/platform/|https://docs.swarm.com/reference/authorized-assets
Securitize,tokenized_issuer_platform,Tokenized Issuer Platform,"Connect/Domain APIs cover identity, wallets, tokens and investment flows; no general public market-price/NAV feed found",securitize_transfer_agent_or_issuer; NAV may originate with each fund administrator,Not externally documented,Unknown; agreement required,"Use as issuer/TA integration, not as a generic price provider. Request exact NAV/webhook fields and rights per fund.",https://issuersupport.securitize.io/hc/en-us/articles/33015702531863-Getting-Started-with-the-Securitize-APIs|https://sec-connect-api-docs.securitize.io/|https://sec-connect-api-docs.securitize.io/scope-of-access
WisdomTree Connect,tokenized_issuer,Tokenized Issuer,"Official daily NAV, shares, AUM, accruals, performance and holdings; separate subscription/redemption/order workflows and WTGXX 24/7 dealer settlement",wisdomtree_official_nav; dealer execution and official NAV are distinct semantics but same issuer family,Not externally documented,Unknown,High-value partner target: official identifiers and NAV history exist. Keep official NAV separate from 24/7 dealer quote/executable price.,https://docs.wisdomtreeconnect.com/|https://docs.wisdomtreeconnect.com/dataspan/nav|https://docs.wisdomtreeconnect.com/dataspan/aggregates|https://www.wisdomtreeconnect.com/terms-of-service
Spiko,tokenized_issuer,Tokenized Issuer,Official NAV calculated daily by CACEIS; onchain Oracle/Chainlink AggregatorV3-compatible feed; NAV is not market BidAsk,spiko_caceis_nav; Spiko relayer and Chainlink publication are correlated representations of the same CACEIS NAV,Not externally documented,Unknown,"Authoritative NAV candidate, not independent twice when read from both Spiko and Chainlink contracts.",https://tech.spiko.io/posts/spiko-smart-contracts/|https://www.spiko.io/blog/spiko-in-collaboration-with-caceis-integrates-chainlink-infrastructure-to-bring-nav-data-onchain|https://www.spiko.io/blog/spiko-chainlink-ccip
Superstate,tokenized_issuer,Tokenized Issuer,Daily NAV/AUM/yield API; USTB continuous price extrapolated from latest two NAV checkpoints; daily Chainlink NAV/S; onchain redemption/subscription calculators,superstate_nav; continuous extrapolation and daily Chainlink/Pyth representations remain one issuer-NAV lineage,Not externally documented,Unknown,"Strong authoritative NAV/redemption-rate lane. Label continuous price as extrapolated NAV, not an exchange price.",https://docs.superstate.com/introduction-to-superstate/api|https://docs.superstate.com/welcome-to-superstate/smart-contracts|https://docs.superstate.com/superstate-funds/ustb/income-fees-and-yield
Franklin Templeton / Benji,tokenized_issuer,Tokenized Issuer,Official fund share record; BENJI represents a fund share and accrues yield; no public executable quote/book or public NAV API schema located,franklin_transfer_agent_nav; all chain deployments are one fund/TA source,Not externally documented,Unknown,Partner for official NAV/TA data. Token balance and daily yield minting are not standalone market prices.,https://digitalassets.franklintempleton.com/benji/|https://digitalassets.franklintempleton.com/benji/benji-contracts/|https://www.franklintempleton.com/press-releases/news-room/2026/franklin-templeton-stellar-development-foundation-mark-five-years-of-benji-the-first-u.s.-registered-tokenized-money-market-fund
OpenEden,tokenized_issuer,Tokenized Issuer,NAV per token; onchain price oracle used for subscriptions; daily/monthly administrator NAV; no executable market depth,openeden_fund_nav; administrator report and onchain oracle are one fund lineage,Not externally documented,Unknown,Authoritative NAV candidate only. Preserve valuation date and do not infer continuous executable liquidity from 24/7 contract settlement.,https://docs.openeden.com/tbill/token-price|https://docs.openeden.com/tbill/trust-and-transparency|https://docs.openeden.com/tbill/subscriptions|https://docs.openeden.com/tbill/faq
Matrixdock,tokenized_issuer,Tokenized Issuer,Issuer mint/redeem quote and reserve/transparency data; XAUm unit is one troy ounce; no public general price API found,matrixdock_issuer_quote; external Chainlink XAU/USD or SmartData may be upstream and must be tagged,Not externally documented,Unknown,Reference/primary quote candidate after exact contract mapping. Website quote is not evidence of API/redistribution rights.,https://www.matrixdock.com/xaum|https://www.matrixdock.com/transparency/underlying-assets|https://www.matrixdock.com/blog/announcements/gold-token-xaum
Midas,tokenized_issuer,Tokenized Issuer,Issuer/reference-value oracle; daily independent verification; instant redemption uses designated oracle price but issuer redemption amount may differ,midas_reference_oracle; verification agent and issuer oracle are not separate price sources,Not externally documented,Unknown,Useful exact redemption/reference lane. Keep explicit disclaimer that oracle is reference and redemption amount may differ.,https://docs.midas.app/defi-integration/price-oracle|https://docs.midas.app/protocol-mechanics/smart-contracts|https://docs.midas.app/tokens/mtbill/independent-reporting
Pyth Core,oracle,Oracle,Robust aggregate price plus confidence; not executable depth. Publisher contributions aggregated on Pythnet; market hours/status matter,pyth_aggregate; one Pyth feed counts as one lineage regardless of publisher count; do not count NOBI/TTMzero separately without publisher-level observations,Not externally documented,Unknown for a commercial offchain API built from Pyth,"Good reference/guardrail input, not block-size VWAP. Treat publisher count as robustness metadata, not accessible independent inputs.",https://docs.pyth.network/price-feeds|https://docs.pyth.network/price-feeds/core/how-pyth-works|https://docs.pyth.network/price-feeds/core/current-fees|https://docs.pyth.network/price-feeds/core/fetch-price-updates|https://docs.pyth.network/price-feeds/core/best-practices
Pyth Pro,oracle_commercial,Oracle Commercial,Aggregate price/confidence/publisherCount; optional experimental best bid/ask; market-session state; signed EVM/Solana payloads; funding-rate feed types,pyth_pro_aggregate; correlated with Pyth Core where same publisher set/instrument,Agreement or license required,Agreement-scoped,"Potential partner substitute for client-used TradFi symbols, but obtain written redistribution, raw retention and onchain-publication rights. Experimental bid/ask is not production depth.",https://docs.pyth.network/price-feeds/pro|https://docs.pyth.network/price-feeds/pro/pyth-terminal|https://docs.pyth.network/price-feeds/pro/payload-reference|https://docs.pyth.network/price-feeds/pro/rate-limits|https://docs.pyth.network/price-feeds/pro/subscribe-to-prices
