Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link
Epic,Reduce RWA data sourcing cost,"Goal: Increase market data profit by 7,500 EUR/month. Target impact: 2,000 EUR/month. Profit lever: cost reduction. Identify, validate, and integrate online RWA asset data sources that reduce dependency on Tiingo while preserving required quality, reliability, coverage, and licensing safety. Acceptance criteria: source shortlist completed; quality/latency/reliability/licensing reviewed; expected monthly savings calculated; go/no-go documented; integration path estimated.",High,"okr-market-data-profit,rwa,cost-reduction,vendor-costs","Reduce RWA data sourcing cost",
Task,Audit current Tiingo usage and monthly cost baseline,"Parent Epic: Reduce RWA data sourcing cost. Acceptance criteria: current Tiingo usage mapped by dataset, asset class, endpoint, and consumer; monthly cost baseline documented; critical dependencies and replacement constraints listed.",High,"okr-market-data-profit,rwa,tiingo,cost-baseline",,"Reduce RWA data sourcing cost"
Task,Shortlist online RWA data sources,"Parent Epic: Reduce RWA data sourcing cost. Acceptance criteria: at least 3 candidate sources identified; coverage and data access method documented; licensing and commercial constraints noted.",High,"okr-market-data-profit,rwa,data-sourcing",,"Reduce RWA data sourcing cost"
Story,Validate RWA data quality against existing source,"Parent Epic: Reduce RWA data sourcing cost. Acceptance criteria: sample comparison completed against current Tiingo output; missing fields, latency, stale data, and mismatch rates documented; recommendation produced with confidence level.",High,"okr-market-data-profit,rwa,data-quality",,"Reduce RWA data sourcing cost"
Story,Prepare RWA source integration plan,"Parent Epic: Reduce RWA data sourcing cost. Acceptance criteria: required engineering work broken down; risks and rollback path documented; estimated monthly cost saving confirmed.",Medium,"okr-market-data-profit,rwa,integration",,"Reduce RWA data sourcing cost"
Epic,Launch agentic commerce data offering,"Goal: Increase market data profit by 7,500 EUR/month. Target impact: 2,000 EUR/month. Profit lever: new revenue. Position Blocksize market data as an agentic commerce data layer by defining the offer, target buyers, use cases, pricing, and initial sales motion. Acceptance criteria: target customer segment defined; agentic data package scoped; pricing hypothesis created; demo or sample dataset prepared; first outreach list and message created.",High,"okr-market-data-profit,agentic-commerce,new-revenue","Launch agentic commerce data offering",
Task,Define agentic commerce buyer and use cases,"Parent Epic: Launch agentic commerce data offering. Acceptance criteria: buyer persona documented; top 3 use cases defined; required datasets and delivery format listed.",High,"okr-market-data-profit,agentic-commerce,positioning",,"Launch agentic commerce data offering"
Story,Package agentic data offering,"Parent Epic: Launch agentic commerce data offering. Acceptance criteria: offer name, scope, included datasets, delivery method, and support model drafted; pricing options documented; differentiation versus generic market data vendors captured.",High,"okr-market-data-profit,agentic-commerce,packaging",,"Launch agentic commerce data offering"
Story,Create demo or sample data package,"Parent Epic: Launch agentic commerce data offering. Acceptance criteria: sample dataset or demo flow created; demo explains why agentic commerce systems need this data; internal review completed.",Medium,"okr-market-data-profit,agentic-commerce,demo",,"Launch agentic commerce data offering"
Task,Run first agentic data outreach sprint,"Parent Epic: Launch agentic commerce data offering. Acceptance criteria: target account list created; outreach message drafted; at least 10 prospects contacted or queued; feedback tracked for offer refinement.",Medium,"okr-market-data-profit,agentic-commerce,outreach",,"Launch agentic commerce data offering"
Epic,Maintain Pyth publisher status,"Goal: Increase market data profit by 7,500 EUR/month. Target impact: 1,500 EUR/month. Profit lever: revenue protection / strategic positioning. Ensure Blocksize remains compliant, reliable, and active as a Pyth publisher to protect strategic revenue, credibility, and downstream market data opportunities. Acceptance criteria: current publisher requirements reviewed; technical and operational gaps identified; compliance/reliability checklist maintained; relationship update or next step completed.",High,"okr-market-data-profit,pyth,revenue-protection","Maintain Pyth publisher status",
Task,Review current Pyth publisher requirements,"Parent Epic: Maintain Pyth publisher status. Acceptance criteria: requirements documented; current status assessed; gaps and owners identified.",High,"okr-market-data-profit,pyth,compliance",,"Maintain Pyth publisher status"
Task,Run Pyth publishing reliability check,"Parent Epic: Maintain Pyth publisher status. Acceptance criteria: feed uptime, latency, error rate, and freshness checked; any issues logged with severity; remediation actions created if needed.",High,"okr-market-data-profit,pyth,reliability",,"Maintain Pyth publisher status"
Story,Create Pyth publisher risk mitigation plan,"Parent Epic: Maintain Pyth publisher status. Acceptance criteria: top risks documented; mitigation actions assigned; escalation path defined.",Medium,"okr-market-data-profit,pyth,risk",,"Maintain Pyth publisher status"
