venue,provider_id,provider_name,category,feed_count,rights_status,legal_rights_cleared,source_access_ready,production_access_ready,can_source_for_internal_benchmark,can_redistribute_production,can_use_for_consensus,consensus_role,requires_license_or_contract,source_rights_risk,required_dependency_ids,missing_dependency_ids,blocked_dependency_ids,required_policy_env,missing_policy_env,production_requirement,next_action
aerodrome_slipstream,aerodrome_slipstream,Aerodrome Slipstream,dex_liquidity,10,production_rights_cleared,True,False,False,False,True,False,rights_cleared_pending_source_access,False,medium,"[""evm_rpc_multichain"", ""evm_pool_allowlist"", ""redistribution_policy""]","[""evm_rpc_multichain""]",[],"[""EVM_RPC_PROVIDER_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"provider/API terms, RPC terms, public-chain data policy, and redistribution policy signoff","Rights gate is clear; configure source access, identifiers, and replay evidence before live use."
aevo,aevo,Aevo,dex_liquidity,50,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,medium,"[""redistribution_policy""]",[],[],"[""RWA_MARKET_DATA_POLICY_ACK""]",[],"venue API/data-use terms, derivative-data labeling, derived-data policy, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
apex_omni,apex_omni,ApeX Omni,dex_liquidity,76,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,medium,"[""redistribution_policy""]",[],[],"[""RWA_MARKET_DATA_POLICY_ACK""]",[],"venue API/data-use terms, derivative-data labeling, derived-data policy, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
aster,aster,Aster,dex_liquidity,116,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,medium,"[""redistribution_policy""]",[],[],"[""RWA_MARKET_DATA_POLICY_ACK""]",[],"venue API/data-use terms, derivative-data labeling, derived-data policy, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
balancer_pools,balancer_pools,Balancer weighted and stable pools,dex_liquidity,12,production_rights_cleared,True,False,False,False,True,False,rights_cleared_pending_source_access,False,medium,"[""evm_rpc_multichain"", ""evm_pool_allowlist"", ""redistribution_policy""]","[""evm_rpc_multichain""]",[],"[""EVM_RPC_PROVIDER_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"provider/API terms, RPC terms, public-chain data policy, and redistribution policy signoff","Rights gate is clear; configure source access, identifiers, and replay evidence before live use."
blocksize_state,blocksize_state,Blocksize state reference,oracle_reference,7,production_rights_cleared,True,False,False,False,True,False,supplemental_reference_only,False,high,"[""blocksize_benchmark_access"", ""redistribution_policy""]","[""blocksize_benchmark_access""]",[],"[""BLOCKSIZE_STATE_REFERENCE_POLICY_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],Blocksize state instrument coverage plus internal policy signoff; state rows are not executable liquidity,"Rights gate is clear; configure source access, identifiers, and replay evidence before live use."
curve_stableswap,curve_stableswap,Curve StableSwap,dex_liquidity,12,production_rights_cleared,True,False,False,False,True,False,rights_cleared_pending_source_access,False,medium,"[""evm_rpc_multichain"", ""evm_pool_allowlist"", ""redistribution_policy""]","[""evm_rpc_multichain""]",[],"[""EVM_RPC_PROVIDER_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"provider/API terms, RPC terms, public-chain data policy, and redistribution policy signoff","Rights gate is clear; configure source access, identifiers, and replay evidence before live use."
derive,derive,Derive / Lyra,dex_liquidity,4,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,medium,"[""redistribution_policy""]",[],[],"[""RWA_MARKET_DATA_POLICY_ACK""]",[],"venue API/data-use terms, derivative-data labeling, derived-data policy, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
drift,drift,Drift,dex_liquidity,32,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,medium,"[""redistribution_policy""]",[],[],"[""RWA_MARKET_DATA_POLICY_ACK""]",[],"venue API/data-use terms, derivative-data labeling, derived-data policy, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
dydx,dydx,dYdX v4,dex_liquidity,8,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,medium,"[""redistribution_policy""]",[],[],"[""RWA_MARKET_DATA_POLICY_ACK""]",[],"venue API/data-use terms, derivative-data labeling, derived-data policy, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
