Issue Type,Local ID,Summary,Parent,Status,Priority,Evidence,Acceptance Criteria,External Dependency
Epic,GROW-EPIC,Build a repeatable agent activation and monetization loop,,In progress,Highest,"src/observability.py; src/resource_server.py; docs/gtm/growth_operating_runbook.md","Activation time-to-value repeat and starter-to-paid metrics are reviewed weekly and drive one owned action per metric",Jira synchronization and operating owners
Story,GROW-01,Ship privacy-safe growth funnel,GROW-EPIC,Live in production,Highest,"src/observability.py; src/resource_server.py; tests/test_resource_server.py","Protected production dashboard shows attributable activation under-3-minute seven-day-repeat and starter-to-paid metrics with definitions and targets",Production traffic and weekly review
Story,GROW-02,Verify full starter-to-paid journey,GROW-EPIC,Automated locally; external smoke pending,Highest,tests/test_resource_server.py,"Discovery then 50 starter deliveries then exhausted-credit 402 then verified x402 delivery succeeds for one identity",Fresh production IP or signed real payment proof for external smoke
Task,GROW-03,Review unsupported-symbol demand weekly,GROW-EPIC,Instrumentation live,High,"src/observability.py; scripts/build_unsupported_symbol_opportunity_report.py","Top requests are reviewed weekly and one coverage decision is documented",Production traffic
Task,GROW-04,Submit and instrument priority directories,GROW-EPIC,Public listings live; metrics feeds pending,High,"deliverables/directory_distribution_status_2026-07-23.md; docs/developer_portal.html","Listing is live for each eligible public directory and listing URL/date is recorded",Signed-in accounts for future listing edits; marketplace analytics access
Task,GROW-05,Ingest marketplace-side metrics,GROW-EPIC,Endpoint ready; feeds pending,Medium,"/internal/observability/marketplace-metrics; src/resource_server.py","Pay.sh Smithery and other supported marketplace snapshots appear in Platform Coverage",Marketplace metrics APIs or exports
Task,GROW-06,Run weekly growth operating review,GROW-EPIC,Runbook ready,High,docs/gtm/growth_operating_runbook.md,"Weekly metric movement evidence decisions and owners are recorded",Operating owner
Epic,RWA-PILOT-EPIC,Promote a three-feed RWA pilot safely,,In progress,Highest,"scripts/run_rwa_growth_pilot.py; tests/test_rwa_growth_pilot.py","No feed is promoted until every monitoring and non-monitoring gate passes",Rights benchmark and human approval
Story,RWA-PILOT-01,Capture three RWA feeds continuously,RWA-PILOT-EPIC,Running in production; replay and queryable ledger live,Highest,"scripts/run_rwa_growth_pilot.py; src/resource_server.py; src/rwa_store.py","AAPL PAXG and EURC observations persist every 30 minutes in replay history and the queryable ledger with scheduler health visible in the dashboard",None
Story,RWA-PILOT-02,Complete independent benchmark alignment,RWA-PILOT-EPIC,Automated evidence collection live in production; gate open,Highest,"scripts/run_rwa_pilot_alignment_snapshot.py; reports/agentic_marketing/rwa_pilot_alignment_production_verification_2026-07-24.md","Timestamp-aligned independent benchmark drift is measured across the full window and thresholds are approved per feed","Directly matched independent benchmarks; lineage rights and methodology approval"
Story,RWA-PILOT-03,Complete liquidity manipulation and replay review,RWA-PILOT-EPIC,Collecting evidence,Highest,"RWA pilot JSONL history; reports/rwa_live_source_readiness_2026-07-22.json","Raw replay is complete and depth/manipulation checks pass for the approved window",14-day observation window
Task,RWA-PILOT-04,Complete source-independence and rights signoff,RWA-PILOT-EPIC,Blocked externally,Highest,"reports/rwa_source_rights.json; reports/agentic_marketing/oracle_lineage_index_2026-07-22.json","Source lineage redistribution rights and permitted production semantics are signed off",Legal and commercial owners
Story,RWA-PILOT-05,Approve first production-promoted RWA feed,RWA-PILOT-EPIC,Blocked by gates,Highest,docs/gtm/growth_operating_runbook.md,"Exactly one feed is promoted through an explicit reviewed release only after all gates pass",Completed gates and human approval
Story,BENCH-01,Run named-model grounding benchmark,GROW-EPIC,Harness ready; empirical run pending,Medium,"scripts/run_tool_grounding_benchmark.py; reports/agentic_marketing/tool_grounding_benchmark_2026-07-22.json","Named model outputs are compared on frozen prompts against timestamp-aligned truth with unsupported claims and citations scored",Model API access and publication approval
Story,GROW-07,Activate one-click first live price,GROW-EPIC,Live; starter delivery and production 402 paths verified,Highest,"docs/first_price_quickstart.html; tests/test_resource_server.py; deployment 9de0fa96-d8a1-4eb4-afbd-7405f6f7468a","A new eligible browser identity can request a first live BTC-USD price with one click and receives an explicit 402 upgrade condition if starter credits are unavailable",Fresh external identity for independent starter-credit verification
Story,GROW-08,Ship six agent-framework integrations,GROW-EPIC,Public guide live and packages compile-validated; marketplace publication pending,Highest,"integrations; tests/test_framework_integrations.py; https://mcp.blocksize.info/integrations/agent-frameworks","All six prioritized framework examples install or parse successfully use stable agent identity and expose x402 without substituting data",External package or marketplace publication where desired
