provider,category,asset_scope,price_semantics,transport_auth,timing_sequence_depth_history,public_cost,internal_use_rights,derived_data_rights,commercial_redistribution_rights,raw_retention_rights,blocksize_onchain_publication_rights,lineage_group,official_sources,decision_note,accessed_date
"Hyperliquid / HIP-3","venue","Crypto spot/perps plus builder-deployed HIP-3 perps; exact catalog is dynamic","Native L2 book and trades; separate allMids, oracle, mark, funding. HIP-3 deployer defines oracle and contract specs","Public REST POST /info and public WebSocket; no key for market data","L2/trade WebSocket and REST snapshots; API limits 1,200 weighted units/min/IP, 10 WS connections, 1,000 subscriptions; history endpoints/S3 documented","No market-data subscription price published; trading fees apply","Unknown; public access is not a commercial-use grant","Unknown","Unknown; written venue clearance required","Unknown","Unknown; HIP-3/onchain availability does not grant republication into a Blocksize oracle","hyperliquid_native_book; each HIP-3 dex and its deployer oracle must retain separate lineage","https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/rate-limits-and-user-limits|https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/websocket/subscriptions|https://hyperliquid.gitbook.io/hyperliquid-docs/hyperliquid-improvement-proposals-hips/hip-3-builder-deployed-perpetuals|https://hyperliquid.gitbook.io/hyperliquid-docs/trading/fees","Strong executable candidate. Do not count HIP-3 oracle/index and native order book as independent sources; verify each market's deployer/oracle definition.","2026-07-16"
"Drift","venue","Solana spot and perpetual markets","Locally reconstructed onchain DLOB L2/L3; committed resting orders; optional vAMM/fallback liquidity; separate oracle/mark. Indicative quotes are explicitly non-firm","Solana RPC WebSocket/polling/gRPC via Drift SDK; public chain; hosted DLOB services also exist","Slot-tagged local reconstruction; SDK supports L2/L3 and exact-base fill estimators. Production RPC required. Indicative quotes disappear on disconnect","No protocol market-data subscription price published; RPC/storage costs apply","Public-chain use appears intended; legal review of RPC/provider and hosted-service terms still required","Unknown","Unknown","Possible with self-retained account/slot state, subject to RPC/provider terms","Unknown; publication of a derived Blocksize feed needs policy/legal clearance","drift_dlob; vAMM and indicative-quote components must remain tagged and not counted as independent","https://docs.drift.trade/developers/drift-sdk/dlob|https://docs.drift.trade/developers/market-makers/indicative-quotes|https://docs.drift.trade/developers/market-makers/quickstart","Best build candidate because the book can be reconstructed and replayed from exact accounts/slots. Exclude indicative quotes from firm executable depth or cap separately.","2026-07-16"
"Orderly","venue","100+ USDC-settled perpetuals including crypto and disclosed RWA markets","Shared offchain CLOB order book/trades; separate index, mark and funding","Public REST and public market-data WebSocket; private actions use Orderly Key","Incremental orderbook update every 200 ms with ts and prevTs; latest trades include execution timestamp; market_trades limit 10 requests/s/IP","No market-data subscription price published; trading base fees currently 3 bps crypto taker and 5 bps RWA taker at public tier","Unknown","Unknown","Unknown; written Orderly clearance required","Unknown","Unknown","orderly_shared_clob; all front ends share the same liquidity and must not be counted as independent venues","https://orderly.network/docs/build-on-omnichain/introduction|https://orderly.network/docs/build-on-omnichain/websocket-api/public/order-book-update|https://orderly.network/docs/build-on-omnichain/restful-api/public/get-market-trades|https://orderly.network/docs/introduction/trade-on-orderly/trade-on-orderly|https://orderly.network/docs/introduction/trade-on-orderly/trading-basics/trading-fees","Strong executable candidate. Implement snapshot+prevTs sequencing and preserve the shared-liquidity lineage across broker front ends.","2026-07-16"
"Ostium","venue","Synthetic perpetual markets across crypto, FX, equities, indices and commodities","Builder API exposes bid/mid/ask and market caps; no documented native L2. Treat any inferred depth as synthetic/protocol capacity, not order-book depth","Public Builder API https://builder.ostium.io and SDK; no auth requirement documented for read endpoints","GET /v1/prices, POST /v1/ohlc, WS /v1/prices/stream; getPairs carries live price and market-state fields; no sequence/depth contract found","No public market-data price published","Unknown","Unknown","Unknown","Unknown","Unknown","ostium_protocol_quote; underlying oracle lineage must be mapped before independence claims","https://docs.ostium.com/developer/builder-api/overview|https://docs.ostium.com/developer/reference/get-pairs|https://docs.ostium.com/developer/sdk/overview","Useful reference/bid-ask candidate, but not native L2 and not independently sourced until its upstream oracle lineage is documented.","2026-07-16"
"Gains Network","venue","Hundreds of crypto and synthetic RWA pairs in current public price service","Protocol/DON reference prices and OHLC; not an executable order book","No auth for REST GET and WebSocket price stream","WebSocket batches price updates every 25 ms; approximately 1 s timestamp ping; rate limiting disclosed without numeric limit; /charts OHLC snapshot","No public market-data price published","Unknown","Unknown","Unknown","Unknown","Unknown","gains_don_reference; do not treat pair price as venue book depth","https://docs.gains.trade/developer/integrators/price-feed|https://docs.gains.trade/developer/integrators","Good high-frequency reference lane. Never label as BidAsk or block-size VWAP.","2026-07-16"
"Aevo","venue","Crypto perpetuals and options; exact current instrument list via API","Native offchain order book/trades; instrument types PERPETUAL and OPTION; USD prices and contract amounts","Public REST market endpoints and WebSocket; private endpoints use AEVO-KEY/SECRET","GET /orderbook and WebSocket subscriptions; response timestamps documented in nanoseconds for orders; numeric public rate limit not located","No public market-data subscription price published","Unknown","Unknown","Unknown","Unknown","Unknown","aevo_native_book; options and perps separate from external index/oracle lineage","https://api-docs.aevo.xyz/reference/overview|https://api-docs.aevo.xyz/reference/getorderbook|https://api-docs.aevo.xyz/reference/operations","Executable candidate for listed instruments, but current RWA breadth and redistribution rights need confirmation.","2026-07-16"
"Aster","venue","Spot and perpetual futures; exact current catalog via V3 exchangeInfo","Public REST depth/trades/tickers/funding and WebSocket market streams; separate mark/index where exposed","V3 recommended; public market data unauthenticated, private trading EIP-712/API credentials; V1 key creation ended 2026-03-25","REST and WebSocket; exact V3 weights/update sequencing in official API repository; no historical replay entitlement found","No public market-data subscription price published","Unknown","Unknown","Unknown","Unknown","Unknown","aster_native_book; do not conflate Aster source with upstream oracle/index","https://github.com/asterdex/api-docs|https://github.com/asterdex/aster-skills-hub","Executable candidate. Pin V3 schema and capture exchangeInfo multipliers/ticks before coverage claims.","2026-07-16"
"xStocks / Backed","tokenized_issuer","Public xStocks catalog; equities, ETFs and other tracker certificates across multiple chains","Underlying reference price, token multiplier/contract metadata, corporate actions; soft/firm issuance-redemption quote endpoints separately authenticated. Public token payload is not L2 depth","Public /api/v1 token/metadata endpoints without auth; client and quote actions use API key","Public payload provides identifiers, ISINs, contracts, multiplier and halt state; public price endpoint lacks native executable depth; local probe found 196 token nodes","No price published for public endpoints; client/onboarding commercial terms not public","API expressly targets integrators, but terms governing commercial internal use were not located","Unknown","Unknown; integrator audience is not an express redistribution license","Unknown","Unknown; do not republish public underlying reference as Blocksize oracle without written clearance","backed_issuer_reference; every chain deployment/wrapper is one economic source","https://api.backed.fi/api-docs/|https://docs.xstocks.fi|https://assets.backed.fi/legal-documentation","High-coverage exact identity/reference lane. Preserve ISIN, underlying symbol, multiplier and halt state. No executable semantics or native timestamp should be invented.","2026-07-16"
"Ondo Global Markets","tokenized_issuer","Tokenized US stocks and ETFs","Display-only latest/market/OHLC prices; separate non-binding soft quote and signed mint/redemption attestations; primary token price and underlying-market price distinguished","x-api-key after onboarding; contact onboarding@ondo.finance","Millisecond timestamps; sessions/market status/trading limits available; price history intervals documented; no public book","Quote required","Only under onboarding/API agreement","Unknown","No for the documented display endpoints; explicit display-only wording","Caching governed by endpoint docs/agreement","No for display endpoints: Ondo explicitly says not to use them as an oracle; any attestation-derived publication requires contract terms","ondo_issuer_primary; underlying market data and token primary price share issuer lineage","https://docs.ondo.finance/api-reference/overview|https://docs.ondo.finance/api-reference/assets/get-current-prices-for-all-supported-assets|https://docs.ondo.finance/api-reference/quickstart|https://docs.ondo.finance/api-reference/limits/get-trading-limits","Partner, do not scrape. Treat soft quote as non-binding and display price as reference-only.","2026-07-16"
"Dinari","tokenized_issuer_broker","US equities/dShares; real-time SIP NBBO and separate DFN/top-of-book/L2 products","Licensed NBBO bid/ask for pre-trade display; WebSocket draft lists DFN L2/top-of-book; Dinari says its standard feeds are official exchange data, not onchain dShare trading","API key/secret and entity onboarding; feed and entity_id required for SIP NBBO","Quote timestamp ET; US partners refresh at least every 15 s; no-cache rule for Get Stock Quote; WebSocket authentication documented","US SIP query $0.0075 during regular hours when stated criteria met; other cases described as free; monthly pass-through billing","No for non-display analytics under the US Get Stock Quote rule","No under the cited US NBBO terms","Only as licensed display through Dinari; not a general resale grant","Explicitly prohibited for cited US Get Stock Quote endpoint","No; cited rule limits endpoint to end-user display and prohibits non-display analytics","dinari_sip_or_dfn; official-exchange lineage, not independent from CTA/UTP or other SIP vendors","https://docs.dinari.com/docs/us|https://docs.dinari.com/docs/pricing-quotes|https://docs.dinari.com/docs/websockets","Not a lawful replacement input for Blocksize analytics/oracle under the cited US NBBO terms. Could be an execution/partner display lane only under a negotiated agreement.","2026-07-16"
