Issue Type,Local ID,Summary,Parent,Local Status,Priority,Evidence,Next Action,External Dependency
Epic,AM-EPIC,Launch agentic commerce data offering,,In progress,High,"README.md; docs/developer_portal.html; docs/api_agent_manual.md","Use this as the single parent for product, evidence, distribution, and measurement work","Jira import or reconciliation"
Task,AM-01,Define agentic commerce buyer and use cases,AM-EPIC,Needs business input,High,deliverables/jira_market_data_profit_okr_tickets.md,"Confirm ICP ranking and top three paid workflows","Commercial decision"
Story,AM-02,Package the agentic data offering,AM-EPIC,Locally complete; review required,High,"docs/developer_portal.html; src/public_metadata.py; README.md","Review packaging and move approved wording into production","Stakeholder approval and deployment"
Story,AM-03,Create demo or sample data package,AM-EPIC,Locally complete,High,"docs/first_price_quickstart.html; docs/prompt_examples.html; docs/api_agent_manual.md","Run the production smoke path after deployment","Production deployment"
Task,AM-04,Instrument first live price activation,AM-EPIC,Implemented and tested,High,"src/observability.py; src/resource_server.py; src/authenticated_mcp_server.py; tests/test_resource_server.py","Deploy and baseline activation by surface","Production deployment and traffic"
Task,AM-05,Publish Claude Cursor and ChatGPT first-price quickstarts,AM-EPIC,Partially complete,High,"docs/first_price_quickstart.html; docs/first_price_quickstart.md","Keep ChatGPT labeled discovery plus HTTP until its connector exposes live tools","Production deployment; ChatGPT live-tool connector gap"
Story,AM-06,Create category authority pages with claims boundaries,AM-EPIC,Locally complete; review required,High,"src/public_metadata.py; README.md","Review and deploy RWA licensing and signed-oracle category hubs","Stakeholder approval and deployment"
Task,AM-07,Clarify RWA expansion counts versus existing Blocksize coverage,AM-EPIC,Locally complete,High,"src/public_metadata.py; reports/agentic_marketing/rwa_coverage_index_2026-07-22.json","Preserve the scoped wording in all future copy","Stakeholder review"
Story,AM-08,Build Blocksize RWA Coverage Index,AM-EPIC,Locally complete,High,"reports/agentic_marketing/Blocksize_RWA_Coverage_Index_2026-07-22.html; output/pdf/Blocksize_RWA_Coverage_Index_2026-07-22.pdf","Approve publication scope and hosting location","Stakeholder approval and deployment"
Story,AM-09,Build Oracle Lineage and Rights Evidence Index,AM-EPIC,Locally complete,High,"reports/agentic_marketing/Blocksize_Oracle_Lineage_Index_2026-07-22.html; output/pdf/Blocksize_Oracle_Lineage_Index_2026-07-22.pdf","Reconcile internal rights states to executed agreements before production claims","Legal/commercial evidence and approval"
Task,AM-10,Create reproducible tool-grounding benchmark,AM-EPIC,Harness complete; empirical run pending,Medium,"scripts/run_tool_grounding_benchmark.py; reports/agentic_marketing/tool_grounding_benchmark_2026-07-22.json","Run named models on frozen prompts with timestamp-aligned truth","Model access; live truth capture; publication approval"
Task,AM-11,Capture unsupported-symbol demand,AM-EPIC,Implemented; collection pending,High,"src/observability.py; scripts/build_unsupported_symbol_opportunity_report.py; reports/agentic_marketing/unsupported_symbol_opportunities_latest.json","Deploy instrumentation and review the ranked report weekly","Production deployment and traffic"
Task,AM-12,Attach citations methodology and provenance to product responses,AM-EPIC,Locally complete; regression verification required,High,"src/resource_server.py; src/public_metadata.py","Run full regression suite and production response checks","Production deployment"
Task,AM-13,Establish activation and distribution KPI baseline,AM-EPIC,Collection pending,High,"src/observability.py; usage_events.db","Record 30 days of first-price activation unsupported-symbol and marketplace metrics","Production deployment; traffic; directory metrics"
Task,AM-14,Submit and refresh marketplace directory listings,AM-EPIC,Ready for external action,Medium,"docs/gtm/pay_skills_submission; docs/gtm/claude_connector_submission.md","Submit approved assets and record listing URLs and dates","Accounts; external submissions; approvals"
Task,AM-15,Run agentic data outreach sprint,AM-EPIC,Not started externally,Medium,deliverables/jira_market_data_profit_okr_tickets.md,"Approve ICP account list message and sender then contact at least 10 prospects","Lead list; sender identity; outreach approval"
Story,AM-16,Convert first agentic buyer to paid pilot,AM-EPIC,Not started externally,High,deliverables/jira_market_data_profit_okr_tickets.md,"Qualify buyer scope pricing rights and onboarding plan","Sales owner; prospect; contract approval"
Task,AM-17,Maintain separate sales contract workstream,AM-EPIC,Separate epic recommended,Medium,deliverables/jira_market_data_profit_okr_tickets.md,"Keep contract negotiation and customer-specific rights outside the marketing epic","Legal and commercial owners"
